ID,Q201601_MILES,Q201601_SPONSORS,Q201602_MILES,Q201602_SPONSORS,Q201603_MILES,Q201603_SPONSORS,Q201604_MILES,Q201604_SPONSORS,FLAG,MILES201601GROCERY,MILES201602GROCERY,MILES201603GROCERY,MILES201604GROCERY,MILES201601CREDIT_CARD,MILES201602CREDIT_CARD,MILES201603CREDIT_CARD,MILES201604CREDIT_CARD,MILES201601OTHER,MILES201602OTHER,MILES201603OTHER,MILES201604OTHER,PROGRAM_TIER,PROVINCE,EMAIL_OPTIN,DEC_2016_ACCOUNT_BALANCE
61,14,2,47,3,16,4,20,3,0,0,4,2,1,0,0,0,0,14,43,14,19,B,AB,N,1227
63,33,4,83,4,16,4,22,2,0,15,6,4,13,0,0,0,0,18,77,12,9,B,BC,N,1649
65,28,1,85,1,201,1,110,1,0,0,0,0,0,28,85,201,110,0,0,0,0,G,BC,Y,740
66,728,8,695,8,709,5,632,5,0,84,64,57,62,592,602,632,563,52,29,20,7,G,QC,Y,8861
67,703,5,1027,7,666,7,548,5,0,78,76,104,102,412,407,382,414,213,544,180,32,G,QC,N,16128
69,265,2,373,3,387,3,692,5,0,21,13,12,10,244,359,374,680,0,1,1,2,G,BC,Y,6996
70,282,6,246,6,226,3,327,7,0,38,22,23,71,234,204,203,236,10,20,0,20,G,ON,Y,3284
72,2313,7,2604,5,12611,6,2429,7,0,61,111,63,71,2193,2316,12289,2147,59,177,259,211,O,SK,Y,104823
73,477,5,754,7,684,6,344,7,0,59,30,44,32,405,672,615,302,13,52,25,10,G,SK,Y,17847
74,499,3,618,4,483,7,1030,4,0,206,84,1,42,278,533,459,986,15,1,23,2,O,AB,Y,11943
75,85,5,183,6,164,7,116,9,0,27,125,51,49,0,0,0,0,58,58,113,67,G,MB,Y,12186
76,154,5,142,5,116,5,133,7,0,5,5,4,11,0,0,0,0,149,137,112,122,G,ON,N,1784
77,258,2,187,1,184,2,16,1,1,254,187,152,16,4,0,0,0,0,0,32,0,B,AB,Y,4411
79,17,1,438,2,284,3,221,2,0,0,0,0,0,17,338,282,220,0,100,2,1,G,BC,N,592
80,243,3,355,3,276,5,244,4,0,1,7,3,1,193,282,194,170,49,66,79,73,G,ON,Y,3917
82,76,2,77,3,65,2,104,3,0,49,26,61,43,0,0,0,0,27,51,4,61,B,QC,N,6104
83,1639,6,1455,5,2036,7,1726,6,0,1,6,22,37,1502,1299,1929,1571,136,150,85,118,O,AB,Y,55472
84,96,1,93,1,63,2,243,2,0,0,0,7,9,96,93,56,234,0,0,0,0,B,AB,N,5685
86,2535,5,4124,6,1572,5,1709,4,1,44,35,20,28,2471,4044,1530,1643,20,45,22,38,O,NS,Y,2696
87,633,5,1100,6,788,9,898,8,0,0,0,11,10,568,1060,751,840,65,40,26,48,G,QC,Y,14191
88,445,5,230,4,215,6,197,4,1,383,157,155,139,0,0,0,0,62,73,60,58,G,MB,N,1102
90,124,3,407,7,133,5,114,4,0,93,101,63,105,26,274,65,8,5,32,5,1,G,BC,N,1786
91,53,5,51,6,58,5,64,7,0,2,1,1,1,22,21,23,22,29,29,34,41,G,ON,Y,652
92,1644,5,1563,8,1458,6,1311,9,0,13,9,47,20,1599,1453,1347,1259,32,101,64,32,O,NS,Y,48846
93,53,4,38,3,23,2,85,2,0,11,12,2,0,0,0,0,0,42,26,21,85,B,ON,N,304
95,1638,4,3579,4,6519,6,6781,6,0,37,143,46,74,1598,3105,5366,6311,3,331,1107,396,O,AB,Y,45019
96,112,1,74,1,61,1,86,1,0,112,74,61,86,0,0,0,0,0,0,0,0,B,BC,N,328
98,550,3,346,4,363,5,323,4,0,1,4,8,10,532,320,353,268,17,22,2,45,G,BC,N,9625
99,248,2,163,2,139,3,68,2,1,22,15,15,22,226,148,122,46,0,0,2,0,B,AB,N,5612
100,302,5,205,4,286,4,348,5,0,48,57,59,36,18,0,0,105,236,148,227,207,G,AB,Y,13738
102,111,7,72,6,123,5,182,5,0,4,6,0,0,0,0,0,0,107,66,123,182,G,ON,Y,851
103,39,4,45,3,12,2,15,2,1,1,1,7,0,9,8,0,0,29,36,5,15,B,NS,Y,6269
104,80,2,57,3,63,7,78,3,0,77,53,58,75,0,0,0,0,3,4,5,3,B,QC,Y,100
106,14,2,18,3,30,3,21,3,0,12,16,19,16,0,0,0,0,2,2,11,5,B,QC,N,36
110,19,4,18,5,16,4,18,5,0,6,13,10,6,0,0,0,0,13,5,6,12,B,ON,N,1676
111,301,8,80,3,164,5,94,4,0,67,45,51,51,224,34,107,41,10,1,6,2,G,AB,Y,6012
112,400,3,152,3,110,3,106,4,1,395,136,99,95,0,0,0,0,5,16,11,11,G,BC,N,1839
113,258,2,313,2,333,2,363,2,0,70,69,138,103,188,244,195,260,0,0,0,0,G,BC,N,490
114,24,3,23,2,22,2,30,3,0,2,2,1,2,21,21,21,23,1,0,0,5,B,BC,N,1319
115,31,5,40,3,53,5,100,6,0,11,1,11,4,0,0,0,6,20,39,42,90,G,AB,Y,373
116,33,2,167,5,270,6,162,5,0,0,48,56,70,33,56,60,32,0,63,154,60,G,BC,N,8777
117,268,3,337,3,447,5,320,3,0,40,33,44,40,214,291,292,269,14,13,111,11,G,QC,Y,569
118,859,3,886,3,191,4,185,5,1,42,37,25,43,791,849,165,126,26,0,1,16,G,QC,N,2271
119,82,5,55,3,56,3,102,6,1,72,46,29,11,0,0,0,0,10,9,27,91,B,QC,N,12618
120,1879,6,1982,5,1750,6,3416,6,0,96,104,166,107,1700,1836,1531,3217,83,42,53,92,O,BC,Y,41510
121,751,4,1329,5,1334,6,1059,4,0,0,0,4,1,747,1288,1294,1046,4,41,36,12,G,BC,Y,21202
122,88,5,122,5,37,3,33,5,0,23,10,23,22,60,103,3,5,5,9,11,6,B,AB,Y,2272
123,970,5,558,3,1009,5,352,3,1,1,0,7,0,487,447,971,340,482,111,31,12,G,BC,N,7490
124,171,2,101,3,89,3,246,2,0,0,0,0,0,170,94,84,244,1,7,5,2,B,NS,Y,1828
125,755,10,1091,8,1055,8,1154,8,0,8,5,11,10,625,952,908,1028,122,134,136,116,O,NL,Y,6566
128,568,2,563,2,482,3,476,2,1,0,0,1,0,555,552,474,470,13,11,7,6,G,?,Y,2343
129,716,1,60,2,591,4,86,3,1,0,0,1,0,716,49,554,65,0,11,36,21,G,ON,N,2401
130,221,3,321,4,227,4,216,3,0,83,201,103,97,136,115,118,110,2,5,6,9,G,AB,N,21394
131,262,2,185,2,957,2,854,2,0,37,19,20,24,225,166,937,830,0,0,0,0,G,BC,Y,3425
134,362,2,666,2,430,2,545,2,0,73,14,20,29,289,652,410,516,0,0,0,0,G,BC,Y,3346
137,174,4,226,3,151,2,373,4,0,10,10,1,9,161,214,150,361,3,2,0,3,G,NL,Y,5938
138,162,2,422,3,849,3,181,3,1,6,18,19,11,156,382,828,150,0,22,2,20,G,QC,Y,2046
140,171,4,720,4,258,5,128,4,0,21,40,41,41,132,597,194,51,18,83,23,36,G,AB,Y,10456
143,264,3,89,4,103,4,149,4,1,10,6,5,6,249,70,87,122,5,13,11,21,B,ON,Y,1295
144,279,5,353,5,367,6,320,7,0,20,24,45,32,235,312,291,254,24,17,31,34,G,NB,Y,13589
145,109,4,341,7,788,5,194,5,0,41,57,31,40,57,270,751,147,11,14,6,7,G,QC,N,14326
146,208,4,152,4,152,4,184,5,0,78,57,62,67,47,62,49,78,83,33,41,39,G,ON,Y,4648
147,3072,1,247,2,1434,1,1474,1,1,0,0,0,0,3072,245,1434,1474,0,2,0,0,O,BC,Y,4469
148,1221,2,2158,5,1542,5,1413,4,0,17,32,17,17,1204,2112,1411,1392,0,14,114,4,O,AB,Y,42137
149,108,3,182,4,99,7,46,5,0,103,77,55,40,0,0,0,0,5,105,44,6,G,AB,N,3618
150,732,3,1685,5,1834,4,1419,4,0,0,0,0,0,730,1650,1817,1406,2,35,17,13,O,ON,N,4203
151,15,4,18,5,40,4,13,2,0,3,2,0,1,0,0,0,0,12,16,40,12,B,ON,N,1077
152,1813,9,2074,9,2011,9,2251,9,0,13,24,26,11,1648,1855,1822,1978,152,195,163,262,O,ON,N,15004
154,71,5,74,7,102,6,79,5,0,34,30,47,50,0,0,0,0,37,44,55,29,B,NB,Y,891
155,10761,7,9685,7,11078,8,18355,7,0,175,206,193,202,5665,4129,5008,12069,4921,5350,5877,6084,O,NB,Y,99280
156,620,6,643,6,553,5,564,6,0,24,47,50,53,576,563,481,473,20,33,22,38,G,QC,Y,115
157,149,3,236,3,320,5,235,4,0,0,0,4,6,148,235,314,228,1,1,2,1,G,ON,Y,1299
159,374,2,596,2,167,4,131,2,1,373,595,153,128,0,0,0,0,1,1,14,3,G,BC,Y,648
160,78,3,94,4,145,3,204,3,0,22,34,41,42,54,55,103,160,2,5,1,2,G,BC,Y,3465
161,24,3,40,2,58,3,26,2,0,6,8,7,4,0,0,0,0,18,32,51,22,B,ON,N,232
162,28,5,30,3,39,6,26,3,0,4,0,8,0,0,0,0,0,24,30,31,26,B,ON,Y,551
164,113,3,126,3,97,2,98,2,0,108,96,95,96,0,0,0,0,5,30,2,2,B,QC,N,209
165,259,5,306,7,215,5,169,5,1,46,35,11,5,185,250,178,140,28,21,26,24,G,ON,Y,1689
166,398,1,365,1,375,1,237,1,0,0,0,0,0,398,365,375,237,0,0,0,0,G,QC,N,18568
168,1062,2,1127,2,757,2,2109,2,0,0,0,0,0,976,1106,746,2089,86,21,11,20,O,ON,Y,27610
169,152,2,193,2,365,1,659,2,0,0,0,0,1,147,190,365,658,5,3,0,0,G,BC,N,13379
171,59,2,54,2,41,4,65,2,0,0,0,5,0,0,0,0,0,59,54,36,65,B,AB,N,2558
172,358,6,426,7,216,5,198,5,1,292,325,200,153,0,0,0,0,66,101,16,45,O,MB,Y,271
173,480,5,1174,7,625,3,295,4,1,13,15,15,19,425,370,570,259,42,789,40,17,O,ON,Y,634
174,28,2,22,3,20,2,27,2,0,0,1,0,0,26,20,19,23,2,1,1,4,B,BC,Y,2419
176,70,1,93,1,65,1,198,1,0,0,0,0,0,70,93,65,198,0,0,0,0,B,NB,N,2012
177,32,3,76,3,37,3,51,2,1,0,0,0,0,4,46,9,35,28,30,28,16,B,ON,N,12149
178,1551,5,4669,6,1672,4,1231,6,0,23,17,31,21,1335,4186,1536,1159,193,466,105,51,O,QC,N,6655
179,211,4,226,5,243,5,157,5,1,27,38,34,31,169,175,179,109,15,13,30,17,G,MB,N,1757
181,22,3,32,6,197,5,33,3,0,14,11,32,15,0,12,85,0,8,9,80,18,B,ON,N,174
184,401,8,520,8,407,8,470,7,0,43,49,38,41,251,328,264,293,107,143,105,136,G,MB,Y,108
185,19,5,16,2,22,2,36,3,1,7,15,13,22,0,0,0,0,12,1,9,14,B,ON,Y,3907
186,661,3,327,2,715,1,915,3,1,3,1,0,3,656,326,715,412,2,0,0,500,G,BC,Y,19138
187,36,6,28,3,254,5,43,4,0,4,5,1,0,0,0,0,0,32,23,253,43,B,ON,Y,2754
189,75,1,34,1,52,1,25,1,1,0,0,0,0,75,34,52,25,0,0,0,0,B,ON,N,2084
190,931,3,524,4,493,3,571,4,0,1,11,1,17,928,507,491,552,2,6,1,2,G,AB,Y,7802
191,341,6,630,5,566,6,395,6,0,15,10,6,4,314,607,539,378,12,13,21,13,G,QC,Y,33765
192,563,5,554,7,608,6,357,5,0,123,46,57,55,434,492,540,297,6,16,11,5,G,AB,Y,4424
194,30,4,14,6,327,4,79,4,1,2,1,4,10,0,0,0,0,28,13,323,69,B,AB,Y,1001
195,2388,4,2078,5,2660,5,1765,3,0,3,4,2,0,2379,2061,2644,1752,6,13,14,13,O,BC,Y,18649
196,1131,2,937,3,1156,2,835,2,0,3,1,1,0,1128,934,1155,829,0,2,0,6,G,AB,N,3704
197,237,3,176,3,181,3,128,3,0,27,9,13,13,206,163,162,110,4,4,6,5,G,BC,Y,6019
198,90,3,92,3,70,3,111,4,0,50,12,16,7,29,70,46,83,11,10,8,21,G,BC,N,3900
201,75,2,82,2,204,3,74,2,0,0,0,1,0,72,79,198,73,3,3,5,1,B,BC,Y,1576
202,22,5,25,8,28,6,38,6,0,1,4,8,22,0,0,0,0,21,21,20,16,B,ON,Y,2404
204,1198,2,1934,4,582,2,458,3,1,0,0,0,0,1195,1920,581,446,3,14,1,12,G,QC,N,16194
206,315,6,583,4,277,6,328,6,0,8,10,22,5,271,561,207,273,36,12,48,50,G,AB,Y,2367
207,95,1,167,2,100,1,99,2,0,95,163,100,84,0,0,0,15,0,4,0,0,B,BC,N,4149
208,363,3,298,4,241,2,228,3,0,1,3,0,1,357,286,232,222,5,9,9,5,G,BC,N,3586
209,42,2,91,2,321,3,198,2,0,8,7,9,11,34,84,307,187,0,0,5,0,B,AB,N,8982
211,783,3,230,1,539,7,1795,7,0,46,0,2,7,734,230,518,1273,3,0,19,515,G,AB,Y,7495
213,654,2,491,3,77,1,29,1,1,0,0,0,0,653,489,77,29,1,2,0,0,G,BC,Y,2488
214,50,2,36,3,420,1,905,2,1,16,8,0,7,34,27,420,898,0,1,0,0,G,AB,Y,5050
215,122,5,118,5,157,6,140,8,0,5,9,14,12,95,83,123,76,22,26,20,52,B,QC,Y,653
218,54,5,69,6,300,6,344,6,0,4,2,0,5,15,27,261,296,35,40,39,43,G,ON,Y,4097
219,851,4,1029,5,1297,3,1015,3,0,0,1,0,0,847,1024,1289,937,4,4,8,78,G,?,Y,33111
224,16,2,20,3,31,2,15,2,0,0,0,0,0,0,8,14,6,16,12,17,9,B,ON,N,1673
225,38,5,53,8,21,5,21,5,0,0,0,1,0,0,14,0,0,38,39,20,21,B,ON,Y,2206
226,61,5,31,3,15,3,14,4,0,1,1,6,7,50,27,3,3,10,3,6,4,B,BC,N,323
228,802,6,1452,6,1100,5,855,6,0,47,52,55,51,744,1379,1003,735,11,21,42,69,O,BC,Y,18513
230,91,3,134,2,102,1,113,2,0,88,121,102,111,0,0,0,0,3,13,0,2,G,AB,N,997
231,1742,4,1381,6,1062,5,259,4,1,31,39,14,32,1709,1328,1042,217,2,14,6,10,O,AB,Y,22791
233,106,5,90,5,96,6,477,7,0,1,1,5,4,25,48,45,422,80,41,46,51,G,ON,Y,238
234,145,6,299,6,247,7,249,8,0,0,5,0,4,117,239,119,130,28,55,128,115,G,ON,Y,4070
235,164,4,180,5,184,5,181,5,0,59,29,43,24,100,136,136,151,5,15,5,6,O,AB,Y,3248
238,285,4,404,4,408,5,267,6,0,0,0,1,0,271,373,364,244,14,31,43,23,G,ON,Y,4526
239,935,7,1730,7,1679,9,1475,5,0,187,246,248,226,654,1456,1309,1243,94,28,122,6,O,QC,Y,6305
242,136,2,316,3,93,3,70,2,0,100,310,88,55,0,0,0,0,36,6,5,15,G,BC,N,15543
243,576,4,537,4,368,4,358,5,0,5,2,4,3,570,530,342,340,1,5,22,15,G,ON,Y,14759
244,850,4,1057,5,1088,4,885,4,0,0,0,0,0,830,1025,1060,869,20,32,28,16,G,AB,Y,2084
245,388,2,1224,3,1600,4,1568,2,0,0,0,0,0,387,1218,1592,1568,1,6,8,0,G,AB,Y,30263
246,85,4,56,4,22,4,52,7,1,0,2,6,14,0,0,0,0,85,54,16,38,B,ON,N,1162
248,22,2,47,3,11,1,17,2,0,18,39,11,16,0,0,0,0,4,8,0,1,B,QC,Y,914
249,880,4,825,4,818,4,1020,3,0,0,1,1,0,809,808,800,1003,71,16,17,17,G,BC,N,20499
250,158,1,352,3,369,2,251,2,0,0,0,0,0,158,343,366,249,0,9,3,2,G,BC,Y,2302
252,1017,3,737,2,798,2,475,2,0,0,0,0,0,1005,726,792,463,12,11,6,12,G,ON,Y,12954
257,94,4,50,2,27,2,52,2,0,36,30,12,19,0,0,0,0,58,20,15,33,B,PE,Y,958
258,89,5,83,3,47,4,269,4,0,0,1,0,0,85,79,41,266,4,3,6,3,B,ON,Y,1907
259,192,5,239,6,359,9,223,8,1,6,8,15,10,155,179,262,178,31,52,82,35,G,ON,Y,47
260,315,2,406,1,355,3,612,2,0,2,0,1,4,313,406,352,608,0,0,2,0,G,BC,Y,10266
261,198,1,347,3,173,5,28,4,1,0,25,17,22,198,33,150,1,0,289,6,5,G,ON,N,1715
262,238,1,222,1,406,1,404,2,0,0,0,0,0,238,222,406,403,0,0,0,1,G,MB,N,5982
263,275,3,100,4,106,5,123,4,1,260,67,87,90,12,12,12,12,3,21,7,21,G,MB,Y,16612
264,1303,4,1956,3,1209,2,1405,2,0,104,10,10,28,1193,1945,1199,1377,6,1,0,0,O,BC,Y,17392
265,671,2,542,2,1465,3,485,2,1,1,1,0,0,670,541,1447,482,0,0,18,3,G,ON,Y,3946
266,57,2,384,10,743,8,305,7,0,0,91,89,14,35,231,593,256,22,62,61,35,G,NL,N,5502
267,394,4,255,3,97,5,158,4,1,1,0,2,4,355,224,45,126,38,31,50,28,G,ON,Y,3393
268,274,3,377,3,288,4,223,4,0,28,72,23,31,231,293,251,187,15,12,14,5,G,AB,N,10451
269,318,6,193,5,244,5,189,5,0,226,120,103,30,0,0,0,0,92,73,141,159,O,AB,N,3623
271,448,2,432,2,604,1,452,1,0,0,0,0,0,437,431,604,452,11,1,0,0,G,ON,N,11343
273,805,7,1058,8,1029,7,983,6,0,105,93,64,57,660,923,940,895,40,42,25,31,G,QC,Y,8725
274,807,5,379,4,530,5,575,6,0,3,0,2,4,738,366,516,554,66,13,12,17,G,ON,Y,752
275,86,2,72,4,122,4,69,3,1,3,9,1,3,83,50,103,63,0,13,18,3,B,ON,Y,6477
276,65,5,275,7,237,6,42,7,1,3,22,7,15,0,0,0,0,62,253,230,27,B,ON,Y,180
278,392,3,231,3,251,4,195,4,0,81,69,82,79,302,153,149,103,9,9,20,13,G,BC,N,8516
281,80,2,115,4,146,6,71,4,0,35,62,55,30,0,0,0,0,45,53,91,41,B,BC,Y,2086
283,33,3,44,2,55,2,36,2,0,0,0,0,0,0,0,0,0,33,44,55,36,B,AB,Y,2311
284,44,5,25,4,42,3,57,5,0,16,8,25,25,0,0,0,0,28,17,17,32,B,AB,Y,1702
286,386,3,357,3,468,3,458,3,0,30,38,20,52,349,317,435,399,7,2,13,7,G,QC,Y,1783
288,40,3,47,3,53,3,46,3,0,27,31,43,31,0,0,0,0,13,16,10,15,B,BC,N,395
289,112,4,222,4,202,4,136,4,0,97,206,196,129,0,0,0,0,15,16,6,7,G,ON,Y,4256
290,137,2,138,3,91,2,156,5,0,130,127,90,140,7,9,1,11,0,2,0,5,G,AB,Y,3029
291,153,5,60,6,89,4,71,4,1,69,21,8,21,49,1,34,5,35,38,47,45,G,AB,Y,2024
292,260,4,468,3,190,3,333,2,0,5,7,1,0,249,450,183,330,6,11,6,3,G,ON,N,8616
293,71,1,118,2,79,1,73,2,0,0,0,0,3,71,79,79,70,0,39,0,0,B,AB,N,208
294,225,5,85,7,61,7,174,6,0,1,5,13,19,218,60,41,133,6,20,7,22,B,ON,N,2638
295,93,3,84,6,83,4,59,4,0,40,27,47,21,0,0,0,0,53,57,36,38,G,ON,Y,6052
296,469,5,289,5,361,5,414,7,0,5,9,8,11,427,258,330,370,37,22,23,33,G,ON,Y,141
297,180,6,199,5,307,4,353,5,0,28,27,31,20,127,134,273,308,25,38,3,25,G,?,Y,4115
299,47,1,46,1,64,1,272,1,0,0,0,0,0,47,46,64,272,0,0,0,0,B,AB,N,10263
300,538,4,262,6,463,5,311,6,0,26,46,43,57,496,186,407,198,16,30,13,56,G,MB,Y,23910
303,335,3,943,1,738,3,536,2,0,3,0,1,7,326,943,732,529,6,0,5,0,G,AB,N,1360
304,520,4,890,5,4132,7,3258,7,0,2,5,36,20,514,857,4013,3187,4,28,83,51,O,QC,Y,5769
305,570,4,2398,3,1538,3,1303,4,0,30,23,28,35,536,2363,1501,1258,4,12,9,10,O,BC,Y,11489
306,1209,5,939,5,931,4,1448,6,1,3,1,1,10,1205,937,930,1437,1,1,0,1,O,BC,Y,7451
307,156,7,99,4,128,5,160,6,0,32,18,20,39,43,52,64,44,81,29,44,77,G,NL,N,7011
308,204,1,241,1,204,1,239,2,0,0,0,0,0,204,241,204,237,0,0,0,2,B,AB,N,5471
309,787,1,901,1,658,1,367,1,0,0,0,0,0,787,901,658,367,0,0,0,0,G,BC,Y,19448
310,104,2,54,1,47,2,54,1,1,102,54,46,54,0,0,0,0,2,0,1,0,G,AB,N,3714
314,78,2,88,3,69,4,78,2,0,34,47,25,31,0,0,0,0,44,41,44,47,O,AB,N,40435
315,111,1,1052,5,1153,7,615,4,0,0,2,4,0,111,1029,1108,572,0,21,41,43,G,ON,Y,13452
316,45,7,33,5,72,5,55,4,0,12,8,20,20,0,0,0,0,33,25,52,35,B,ON,N,1280
317,88,5,117,3,68,4,111,3,0,73,50,32,85,7,65,34,21,8,2,2,5,G,BC,Y,10675
318,60,5,57,4,13,2,85,5,1,5,1,1,36,0,0,0,0,55,56,12,49,B,ON,Y,328
319,88,1,263,3,185,2,303,3,0,0,2,7,3,88,260,178,298,0,1,0,2,G,ON,Y,7148
320,103,3,133,6,222,7,87,4,0,3,2,12,5,50,79,71,61,50,52,139,21,G,AB,Y,180
321,14,2,99,5,36,3,158,5,0,0,4,0,5,0,0,0,135,14,95,36,18,B,ON,N,8361
323,523,8,276,7,148,8,169,5,1,2,27,3,0,318,176,103,139,203,73,42,30,G,ON,Y,10694
324,544,6,190,5,167,5,126,6,1,3,7,8,2,526,170,146,109,15,13,13,15,G,AB,N,2355
325,27,2,40,3,48,4,38,4,0,26,35,36,32,0,0,0,0,1,5,12,6,B,AB,Y,1099
326,681,6,574,6,665,6,1008,6,0,12,6,13,22,660,548,611,971,9,20,41,15,G,ON,Y,2249
327,149,4,38,5,32,4,33,4,0,1,7,3,4,52,14,14,0,96,17,15,29,G,AB,Y,3040
328,867,2,269,2,378,2,104,2,1,12,6,4,14,855,263,374,90,0,0,0,0,G,SK,N,798
